ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2023,11560,영등포구,10200,영등포동1가,1,대지,0030,0000,금반석시티빌9차,2023-05-17,14000,14.67,5.93,4.0,,,2017,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25500,26.1,16.28,5.0,,,2023,연립다세대,직거래,
2023,11440,마포구,12300,망원동,1,대지,0431,0008,건우빌라,2023-05-17,37000,67.94,36.04,2.0,,,2002,연립다세대,중개거래,서울 마포구
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25650,26.05,16.25,5.0,,,2023,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25500,26.1,16.28,3.0,,,2023,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25650,26.05,16.25,5.0,,,2023,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25300,26.1,16.28,2.0,,,2023,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,25650,26.05,16.25,3.0,,,2023,연립다세대,직거래,
2023,11530,구로구,10200,구로동,1,대지,0031,0018,(31-18),2023-05-17,26050,26.21,16.35,4.0,,,2023,연립다세대,직거래,
2023,11470,양천구,10300,신월동,1,대지,0042,0019,삼우주택(42-19),2023-05-16,17400,44.82,31.43,2.0,,,1991,연립다세대,중개거래,서울 양천구
2023,11215,광진구,10700,화양동,1,대지,0021,0020,광진캠퍼스시티,2023-05-16,14200,17.49,28.61,6.0,,,2017,오피스텔,중개거래,서울 광진구
2023,11380,은평구,10800,역촌동,1,대지,0072,0041,모라도쉐르빌(C동),2023-05-16,30000,75.84,41.47,5.0,,,2005,연립다세대,중개거래,서울 은평구
2023,11170,용산구,10100,후암동,1,대지,0030,0025,(30-25),2023-05-16,69000,72.29,41.45,2.0,,,2012,연립다세대,중개거래,서울 마포구
2023,11530,구로구,10200,구로동,1,대지,0044,0008,비즈트위트오렌지,2023-05-16,11500,15.6,0.0,5.0,,,2013,아파트,중개거래,서울 영등포구
2023,11290,성북구,11300,삼선동3가,1,대지,0030,0009,광암빌라,2023-05-16,15000,49.38,25.16,3.0,,,1993,연립다세대,중개거래,세종시
2023,11350,노원구,10200,월계동,1,대지,0013,0000,미성,2023-05-16,63000,50.14,0.0,14.0,,,1986,아파트,중개거래,서울 노원구
2023,11620,관악구,10100,봉천동,1,대지,1708,0000,두산,2023-05-16,70000,59.92,0.0,7.0,,,2000,아파트,중개거래,서울 관악구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,37650,39.46,23.74,5.0,,,2023,연립다세대,직거래,
2023,11140,중구,16700,정동,1,대지,0037,0000,삼정아트테라스정동,2023-05-16,38200,22.47,0.0,5.0,,,2020,아파트,직거래,
2023,11680,강남구,11800,도곡동,1,대지,0467,0000,타워팰리스1,2023-05-16,490000,164.95,0.0,30.0,,,2002,아파트,중개거래,서울 강남구
2023,11680,강남구,11800,도곡동,1,대지,0955,0000,도곡그린빌,2023-05-16,52000,48.48,0.0,5.0,,,1995,아파트,직거래,
2023,11230,동대문구,10600,장안동,1,대지,0329,0002,장안힐스테이트,2023-05-16,96000,84.85,0.0,21.0,,,2007,아파트,중개거래,서울 동대문구
2023,11260,중랑구,10200,상봉동,1,대지,0121,0013,상봉아트빌라,2023-05-16,27200,52.59,38.36,3.0,,,1995,연립다세대,중개거래,서울 중랑구
2023,11305,강북구,10300,수유동,1,대지,0508,0014,힐링하우스,2023-05-16,24000,32.46,20.88,4.0,,,2016,연립다세대,직거래,
2023,11560,영등포구,11400,당산동4가,1,대지,0030,0001,당산현대5차,2023-05-16,80000,59.85,0.0,21.0,,,2000,아파트,중개거래,서울 동대문구
2023,11305,강북구,10300,수유동,1,대지,0392,0102,정원팰리스,2023-05-16,22500,36.96,27.03,4.0,,,2017,연립다세대,중개거래,서울 강북구
2023,11560,영등포구,10200,영등포동1가,1,대지,0127,0000,신한헤스티아,2023-05-16,13500,18.01,28.65,8.0,,,2016,오피스텔,중개거래,서울 영등포구
2023,11530,구로구,10700,개봉동,1,대지,0480,0000,현대홈타운,2023-05-16,58600,59.49,0.0,9.0,,,2001,아파트,중개거래,서울 구로구
2023,11545,금천구,10300,시흥동,1,대지,1026,0000,남서울힐스테이트,2023-05-16,100000,113.33,0.0,17.0,,,2014,아파트,중개거래,서울 금천구
2023,11320,도봉구,10700,창동,1,대지,0373,0000,창동주공4단지,2023-05-16,38500,41.3,0.0,6.0,,,1991,아파트,중개거래,서울 도봉구
2023,11620,관악구,10200,신림동,1,대지,1421,0001,신림큐브,2023-05-16,15000,12.39,0.0,7.0,,,2015,아파트,직거래,
2023,11590,동작구,10500,흑석동,1,대지,0253,0089,흑석리버파크자이,2023-05-16,115000,59.76,0.0,3.0,분양권,,0,아파트,중개거래,서울 동작구
2023,11620,관악구,10100,봉천동,1,대지,0100,0020,더갤러리테라스,2023-05-16,32000,35.98,0.0,7.0,,,2016,아파트,중개거래,서울 관악구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,47200,54.5,32.8,2.0,,,2023,연립다세대,직거래,
2023,11290,성북구,10700,동소문동4가,1,대지,0279,0000,송산아파트,2023-05-16,52200,58.59,0.0,4.0,,,1998,아파트,직거래,
2023,11140,중구,15600,입정동,1,대지,0002,0004,힐스테이트세운센트럴2단지,2023-05-16,66000,49.76,0.0,22.0,분양권,,0,아파트,직거래,
2023,11650,서초구,10800,서초동,1,대지,1319,0011,두산베어스텔,2023-05-16,50000,61.95,87.95,10.0,,,1999,오피스텔,중개거래,서울 서초구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,47900,54.5,32.8,3.0,,,2023,연립다세대,직거래,
2023,11470,양천구,10200,목동,1,대지,0537,0003,수정빌라(537-3),2023-05-16,22700,47.86,27.9,4.0,,,2007,연립다세대,직거래,
2023,11380,은평구,10600,대조동,1,대지,0009,0029,뉴캐슬,2023-05-16,11300,15.3,0.0,13.0,,,2013,아파트,중개거래,서울 은평구
2023,11560,영등포구,12900,양평동5가,1,대지,0051,0000,에듀시티에비앙,2023-05-16,22500,21.01,8.77,8.0,,,2017,오피스텔,중개거래,서울 영등포구
2023,11350,노원구,10500,상계동,1,대지,0637,0000,상계주공13(고층),2023-05-16,33000,45.9,0.0,1.0,,,1989,아파트,중개거래,서울 노원구
2023,11740,강동구,10900,천호동,1,대지,0320,0000,다성이즈빌(320),2023-05-16,56000,46.55,0.0,7.0,,,2017,아파트,중개거래,서울 강동구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,44450,51.37,30.91,2.0,,,2023,연립다세대,직거래,
2023,11440,마포구,12500,성산동,1,대지,0590,0001,상암 두산위브센티움,2023-05-16,15800,23.24,33.13,12.0,,,2013,오피스텔,중개거래,서울 마포구
2023,11560,영등포구,11000,여의도동,1,대지,0055,0001,대우트럼프월드Ⅰ,2023-05-16,44000,33.71,0.0,5.0,,,2002,아파트,중개거래,서울 영등포구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,45150,51.37,30.91,3.0,,,2023,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1,대지,1259,0000,신트리1,2023-05-16,56800,49.8,0.0,3.0,,,1999,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1,대지,0944,0008,대성주택(9동),2023-05-16,19000,36.27,27.29,-1.0,,,1986,연립다세대,중개거래,서울 양천구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,42250,46.95,28.25,3.0,,,2023,연립다세대,직거래,
2023,11215,광진구,10500,자양동,1,대지,0016,0032,(16-32),2023-05-16,28000,16.94,16.9,3.0,,,2007,연립다세대,중개거래,서울 성동구
2023,11200,성동구,10800,응봉동,1,대지,0100,0000,대림(1차),2023-05-16,142500,126.66,0.0,10.0,,,1986,아파트,중개거래,서울 성동구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,41550,46.95,28.24,2.0,,,2023,연립다세대,직거래,
2023,11350,노원구,10500,상계동,1,대지,1255,0000,은빛1단지,2023-05-16,40000,49.77,0.0,15.0,,,1998,아파트,중개거래,서울 노원구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,41850,45.39,27.31,3.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,41200,45.39,27.31,2.0,,,2023,연립다세대,직거래,
2023,11500,강서구,10900,방화동,1,대지,0619,0068,에어포스빌,2023-05-16,9500,20.79,28.59,5.0,,,2003,오피스텔,중개거래,서울 강서구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,40850,44.11,26.54,5.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,41500,44.11,26.54,4.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,37900,39.46,23.74,4.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,41150,43.51,26.18,6.0,,,2023,연립다세대,직거래,
2023,11305,강북구,10300,수유동,1,대지,0312,0002,유니온빌,2023-05-16,20900,36.08,22.72,4.0,,,2016,연립다세대,직거래,
2023,11350,노원구,10600,중계동,1,대지,0369,0000,주공2,2023-05-16,33000,44.52,0.0,10.0,,20230517,1992,아파트,중개거래,서울 도봉구
2023,11530,구로구,10200,구로동,1,대지,1132,0023,장미연립(1132-23),2023-05-16,5000,27.5,13.3,1.0,,,1974,연립다세대,직거래,
2023,11320,도봉구,10800,도봉동,1,대지,0573,0021,진주11,2023-05-16,11100,41.54,34.52,2.0,,,1987,연립다세대,직거래,
2023,11350,노원구,10600,중계동,1,대지,0369,0000,주공2,2023-05-16,34200,44.52,0.0,10.0,,,1992,아파트,중개거래,서울 도봉구
2023,11230,동대문구,11000,이문동,1,대지,0291,0035,이문스카이뷰,2023-05-16,31000,25.99,0.0,17.0,,,2020,아파트,직거래,
2023,11500,강서구,10200,등촌동,1,대지,0702,0000,주공10,2023-05-16,37000,37.67,0.0,7.0,,,1995,아파트,직거래,
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,39900,42.19,25.39,6.0,,,2023,연립다세대,직거래,
2023,11320,도봉구,10700,창동,1,대지,0593,0010,은행빌라7,2023-05-16,14400,33.3,17.27,2.0,,,1993,연립다세대,중개거래,서울 강북구
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,38750,41.0,24.67,5.0,,,2023,연립다세대,직거래,
2023,11320,도봉구,10700,창동,1,대지,0657,0060,진영맨션,2023-05-16,27500,59.34,26.2,3.0,,,2003,연립다세대,중개거래,서울 도봉구
2023,11350,노원구,10600,중계동,1,대지,0599,0000,중계스타클래스,2023-05-16,62150,84.8,0.0,3.0,,,2005,아파트,직거래,
2023,11560,영등포구,13300,대림동,1,대지,0752,0013,유성파크빌,2023-05-16,38600,41.0,24.67,4.0,,,2023,연립다세대,직거래,
2023,11560,영등포구,10200,영등포동1가,1,대지,0113,0001,여의도씨티아이,2023-05-16,12700,12.59,0.0,16.0,,,2013,아파트,중개거래,서울 영등포구
2023,11410,서대문구,10200,충정로3가,1,대지,0030,0017,충정솔레디움(101동),2023-05-15,98000,80.47,0.0,3.0,,,2005,아파트,중개거래,서울 서대문구
2023,11380,은평구,11400,진관동,1,대지,0073,0000,웅신 미켈란의아침,2023-05-15,12700,19.06,32.52,15.0,,,2017,오피스텔,중개거래,서울 은평구
2023,11590,동작구,10500,흑석동,,,,,,2023-05-15,116000,138.15,83.0,0.0,,,1993,단독다가구,중개거래,서울 동작구
2023,11545,금천구,10200,독산동,1,대지,0907,0028,알펜하우스,2023-05-15,25500,52.15,29.2,4.0,,,2013,연립다세대,중개거래,서울 관악구
2023,11380,은평구,10200,녹번동,1,대지,0282,0000,힐스테이트녹번,2023-05-15,84000,59.9,0.0,13.0,,20230517,2019,아파트,중개거래,"서울 서대문구, 서울 은평구"
2023,11545,금천구,10200,독산동,1,대지,0335,0023,유원블리스독산,2023-05-15,31836,29.02,35.09,12.0,,,2022,오피스텔,직거래,
2023,11320,도봉구,10500,쌍문동,1,대지,0531,0009,해성빌라(가동),2023-05-15,7500,36.16,21.96,-1.0,,20230515,1990,연립다세대,중개거래,서울 강북구
2023,11545,금천구,10200,독산동,1,대지,0335,0023,유원블리스독산,2023-05-15,31419,29.02,35.09,7.0,,,2022,오피스텔,직거래,
2023,11560,영등포구,11700,당산동,1,대지,0121,0107,현대뉴스타오피스텔,2023-05-15,9000,29.88,39.6,5.0,,,1993,오피스텔,직거래,
2023,11710,송파구,10100,잠실동,1,대지,0027,0000,주공아파트 5단지,2023-05-15,240800,76.5,0.0,8.0,,,1978,아파트,중개거래,서울 송파구
2023,11410,서대문구,10200,충정로3가,1,대지,0465,0000,충정리시온,2023-05-15,13000,26.73,43.17,2.0,,,2004,오피스텔,중개거래,서울 영등포구
2023,11620,관악구,10200,신림동,1,대지,0610,0219,우왕빌라,2023-05-15,11000,35.01,27.5,-1.0,,,1991,연립다세대,중개거래,서울 관악구
2023,11410,서대문구,10200,충정로3가,1,대지,0465,0000,충정리시온,2023-05-15,13000,26.73,43.17,2.0,,,2004,오피스텔,중개거래,서울 영등포구
2023,11290,성북구,10300,돈암동,1,대지,0074,0226,일류타워맨숀,2023-05-15,17000,63.01,28.51,3.0,,,1997,연립다세대,중개거래,서울 강북구
2023,11410,서대문구,10200,충정로3가,1,대지,0465,0000,충정리시온,2023-05-15,13000,26.73,43.17,2.0,,,2004,오피스텔,중개거래,서울 영등포구
2023,11290,성북구,13300,정릉동,1,대지,0239,0000,정릉풍림아이원,2023-05-15,48500,59.88,0.0,7.0,,,2005,아파트,중개거래,서울 성북구
2023,11410,서대문구,10200,충정로3가,1,대지,0465,0000,충정리시온,2023-05-15,18000,38.33,61.9,2.0,,,2004,오피스텔,중개거래,서울 영등포구
2023,11170,용산구,13000,이태원동,1,대지,0728,0000,주공1,2023-05-15,140000,84.66,0.0,1.0,,,1993,아파트,중개거래,서울 용산구
2023,11215,광진구,10500,자양동,1,대지,0013,0043,한양빌라(13-43),2023-05-15,55000,49.82,39.09,1.0,,,1990,연립다세대,중개거래,서울 광진구
